company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,site_name,skills,uniq_id
Covalense Technologies Private Limited,,5 - 9 yrs,IT-Software / Software Services,"Job Description Â  Send me Jobs like this Experience: 5yrs. - 9yrs. Job Description: * Engineering Graduate/Post-Graduate with 6-9 years of experience in Java Programming with strong in Object Oriented concepts. * Good Exposure to spring, hibernate, web services, Threading, Socket Programming, Collections, Data Structure and IO with strong knowledge on either Spring Batch or JEE frameworks.. * Experienced in XML configuration; setting up Eclipse or any other IDEs with basic knowledge of SQL. * Energetic with strong analytical, communication and interpersonal skills. * Ability to learn and apply the new concepts quickly. Preferred Skills * Working knowledge of Oracle/DB2, ClearCase/CVS. * Experienced in test tools like JUNIT. * Ability to build tools like Ant and Maven. Salary:INR 7,50,000 - 15,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Client/Server Programming Role Category:Programming & Design Role:Team Lead/Technical Lead Keyskills Hibernate Spring Java Maven JUnit Ant JEE Eclipse Oracle Web Services AngularJS Desired Candidate Profile Please refer to the Job description above Company Profile: Covalense Technologies Private Limited Ã¯Æ’Ëœ Covalense is an IT services and solutions company, established in 2006 and now with the 300 + professionals are working across the location. Ã¯Æ’Ëœ Our office presence is in New Zealand, Australia , US and India. Ã¯Æ’Ëœ Bangalore, New Zealand is majorly focusing on End-to-End Oracle Telecom stack and Hyderabad, New Zealand focusing on Microsoft, Open Source, Mobility Apps (MOM Services) development Ã¯Æ’Ëœ There are multiple project engagements with Tier 1 SI partners in BLR and Gurgaon. Ã¯Æ’Ëœ Our portfolio majorly consists of telecom implementations along with a wide selection of industry verticals. Download PPT Photo 1 Â  View Contact Details",70916001822,Bengaluru,Java - SSE / Technical Lead,,"7,50,000 - 15,00,000 P.A",2016-10-12 16:21:02 +0000,,IT Software - Client/Server Programming,60b28f3eb5c9c5c004e0b86678d99b5e
Cambio Consulting,"UG: B.Tech/B.E. - Any Specialization, Other Graduate PG:M.Tech - Any Specialization, MCA - Computers, M.S/M.D - Any Specialization, Other Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",4 - 9 yrs,IT-Software / Software Services,"Job Description Â  Send me Jobs like this Hi, we have urgent requirement for embedded developers Job Description: Very good proficiency in programming in Java Very good proficiency in designing software applications, e.g. using design patterns, employing test driven development Good understanding of the principles of GUI programming in the context of Web, e.g. GWT, CSS, JavaScript Knowledge of telecommunication management protocols like SNMP, REST Preferable to have exposure to protocols like DHCP, DNS, SIP etc. Experience in maintaining Continuous Integration Environments e.g. using Maven, Gradle, Subversion Strong competences in working in a team, e.g. using Agile Frameworks like Scrum If interested, Please forward your updated CV to rafi@cambio.co.in Salary:INR 7,00,000 - 17,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - System Programming Role Category:Programming & Design Role:Software Developer Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization, Other Graduate PG:M.Tech - Any Specialization, MCA - Computers, M.S/M.D - Any Specialization, Other Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Cambio Consulting We are established consulting firm providing a wide spectrum of services in the HR Domain consulting services. Our core belief is that people are the most valuable asset for any company. Leading from that is our aim to offer not just recruitment support but also be a strategic adviser to all our customers. We plan to achieve this by understanding the client's business process, industry domain and develop market intelligence in order to provide a right fit for all the positions. Download PPT Photo 1 Â  View Contact Details",1.20317E+11,"Bengaluru/Bangalore , Hyderabad / Secunderabad",Java & NMS Development Openings @ Bangalore and Hyderabad,,"7,00,000 - 17,00,000 P.A",2016-03-11 02:30:18 +0000,,IT Software - System Programming,da267e3b96a4ed51faf0e610ea662c20
SATYAM VENTURE ENGINEERING SERVICES,"UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",10 - 15 yrs,Automobile / Auto Anciliary / Auto Components,"Job Description Â  Send me Jobs like this Experience Profile - Experience in Should Costing of Product is must. Knowledge about various Manufacturing processes such as Stamping, Pressure Die Casting, Plastic Injection Molding etc., Knowledge about costing of various commodities such as Plastic parts, Al. Die Casting, Electric Motors, Automotive Seating System etc., Preferred knowledge in Costing softwares like aPriori, PCS, DFM/ DFA etc., Personal Attributes - Ability to develop a team Keenness to innovation, problem solving abilities, commitment to personal and professional growth, and eye for details. Presentation/ communication skills are prerequisites. Good team players Salary: Not Disclosed by Recruiter Industry: Automobile / Auto Anciliary / Auto Components Functional Area: Production , Manufacturing , Maintenance Role Category:Production/Manufacturing/Maintenance Role:Project Manager-Production/Manufacturing/Maintenance Desired Candidate Profile Education- UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: SATYAM VENTURE ENGINEERING SERVICES SATYAM VENTURE ENGINEERING SERVICES Download PPT Photo 1 Â  View Contact Details",3.10317E+11,Hyderabad / Secunderabad,Project Manager,,Not Disclosed by Recruiter,2016-03-31 02:30:24 +0000,,Production,d6ff245ae99d79e4be094fbe47c50284
Envision Enterprise Solutions Pvt Ltd,"UG: B.Tech/B.E. PG:M.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",7 - 12 yrs,IT-Software / Software Services,"Job Description Â  Send me Jobs like this Project Managers with more than 7 years of experience of large project management and delivery. Working experience in multiple countries with multi culture onsite project engagements, with in Ability to manage stake holders with excellent written, verbal communication skills and team management abilities. Expertise in delivery models like waterfall and Agile is essential. PMP Qualification will be an advantage. Willing to travel to client locations globally Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Testing Engineer Desired Candidate Profile Education- UG: B.Tech/B.E. PG:M.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Envision Enterprise Solutions Pvt Ltd Envision is a leading IT Solutions Provider and System Integrator, providing solutions for enterprises across the globe, to optimize resource utilization, streamline operations, reduce the costs, maximise return on investment. We provide cost effective solutions within budget and timelines. We are known for providing Enterprise Asset Management, Port and Terminal Automation Solutions, Transportation, Logistics, Enterprise Mobility Solutions, IOT, Smarter manufacturing, facilities solutions. Download PPT Photo 1 Â  View Contact Details",70316503401,Hyderabad / Secunderabad,Project Managers,,Not Disclosed by Recruiter,2016-03-07 02:31:09 +0000,,IT Software - Application Programming,9f819c69b3578157baf8b83a5820b27e
NEW HOPE MEDICAL CENTRE,"UG: B.B.A PG:MBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 - 2 yrs,Medical / Healthcare / Hospitals,"Job Description Â  Send me Jobs like this Persons with great initiative, negotiation skills, sound financial insight, managerial skills to lead and support our new projects. Salary: Not Disclosed by Recruiter Industry: Medical / Healthcare / Hospitals Functional Area: Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology Role Category:Drug Regulatory Affairs/Documentation Role:Regulatory Affairs Manager Desired Candidate Profile Education- UG: B.B.A PG:MBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: NEW HOPE MEDICAL CENTRE NEW HOPE MEDICAL CENTRE Download PPT Photo 1 Â  View Contact Details",1.60317E+11,Hyderabad / Secunderabad,Project Manager,,Not Disclosed by Recruiter,2016-03-16 02:31:16 +0000,,Medical,2a1d64deb55ed947cec34818eb7abf9a
Maven Workforce,"UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization, MCA - Computers, M.Sc - Any Specialization Doctorate:Doctorate Not Required",5 - 10 yrs,IT-Software / Software Services,"Job Description Â  Send me Jobs like this 1. The candidate must have done atleast N3 of JLPT (Japanese Language Proficiency Test). Currently JLPT has 5 levels (previously 4 levels). If the candidate has N3 (current), N2 or N1 certification, we can consider. 2. Candidate must know atleast 1000 kanjis 3. Candidate must be good in speaking Japanese. There are no certifications to check that. If a person says he/she lived in Japan or speak business Japanese on a day-to- day basis. 4. M.A in Japanese (especially from Jawaharlal Nehru University (JNU), Delhi) and even if he/she has not cleared any JLPT certifications. 5. If a person has not done any certifications but lived in Japan and can read, write, speak Japanese can be considered. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Other Role Category:Other Role:Outside Consultant Keyskills Japanese JLPT Japanese Interpreter Japanese translator Japanese Language proficiency test Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization, MCA - Computers, M.Sc - Any Specialization Doctorate:Doctorate Not Required Â  Company Profile: Maven Workforce Leading client of Maven Workforce Download PPT Photo 1 Â  View Contact Details",30516900761,"Delhi/NCR(National Capital Region) , Gurgaon",Japanese Interpreter,,Not Disclosed by Recruiter,2016-05-03 11:35:55 +0000,,IT Software - Other,30649a930cae66477fb4e0eb93f2ccf9
Confidential,,2 - 5 yrs,IT-Software / Software Services,"Job Description Â  Send me Jobs like this hi all, please find the mentioned JD below, Skills: Dot.Net, C#, SQL, OOPS ,Web services Experience: 2 -5 Years Work Location: Bangalore M G Road Interview Timming- 10:00 A M to 2:00 P M Mode:C2H Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills .Net Desired Candidate Profile Â  Company Profile: Confidential Confidential Download PPT Photo 1 Â  View Contact Details",1.30416E+11,Bengaluru,.Net Developer,,Not Disclosed by Recruiter,2016-10-06 16:21:31 +0000,,IT Software - Application Programming,b529711ee8c1b4c1bea4849d18594132
Melstar Information Technologies Ltd,UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required,2 - 5 yrs,IT-Software / Software Services,"Job Description Â  Send me Jobs like this We have an urgent openings for .net developer Location : Bangalore Skills:.net, sql Exp : 2 to 4 Years, If you are interested please send your updated resume with following details: Full Name: Email ID: Phone: Primary skills: Total Exp : Relevant Exp: Minimum Notice Period: Current Company: Current CTC: Current Employment(Perm/Cont): Current Location: Preferred Location: Availability on weekend/WeekDay for a F2F discussion : PAN : Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills .net developer .net developer Desired Candidate Profile Â  Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Melstar Information Technologies Ltd Melstar is a CMM Level global IT company with its headquarters in Mumbai; India. We have eight software development facilities, with eleven offices worldwide including the US,Europe and India. We offer a unique blend of domain expertise in the field of Banking, Finance, Insurance and Manufacturing. We are engaged in cutting-edge technologies like e-commerce,web development and dot-com projects with strong N-tier approach. We have global partnerships with IBM,Microsoft, Oracle,Informix and other IT Stalwarts. Our strong customer focus can be seen from the prestigious list of clients like Citibank N.A., IBM, Genpact, Standard Chartered, HP etc. Download PPT Photo 1 Â  View Contact Details",71016900650,"Bengaluru, Delhi, Noida",.net Developer,,Not Disclosed by Recruiter,2016-10-07 16:21:40 +0000,,IT Software - Application Programming,e233e57a6b2eeefc24d43cbb58a86096
Unitforce technologies Pvt. Ltd.,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 - 6 yrs,IT-Software / Software Services,"Job Description Â  Send me Jobs like this Net Framework 4.5 - ASP & C# - HTML5, Java Script, AJAX, JQuery Secondary Skills Required: Entity Framework MVC Angular JS RDBMS Oracle 11g Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Unitforce technologies Pvt. Ltd. www.uftech.com Download PPT Photo 1 Â  View Contact Details",60316600219,Hyderabad / Secunderabad,.NET Developer,,Not Disclosed by Recruiter,2016-03-05 02:30:23 +0000,,IT Software - Application Programming,4ed3d0cca70fcac5acf1557de46ef176
Karvy Analytics Limited,UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required,4 - 8 yrs,KPO / Research / Analytics,"Job Description Â  Send me Jobs like this Responsibilities : - Selecting features, building and optimizing classifiers using machine learning techniques - Data mining using state-of-the-art methods - Enhancing data collection procedures to include information that is relevant for building analytic systems - Processing, cleansing, and verifying the integrity of data used for analysis - Doing ad-hoc analysis and presenting results in a clear manner Skills and Qualifications : - Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, GBM, Decision Forests, Time Series Forecasting etc. - Experience with common data science toolkits in R or Python Excellence in at least one of these is highly desirable - Good communication skills - Experience with data visualization tools, such as D3.js, Tableau etc. would be added advantage - Proficiency in using query languages such as SQL, Hive, Pig would be added advantage - Good applied statistics skills, such as distributions, statistical testing, regression, etc. - Good scripting and programming skills - Data-oriented personality - More than 4 years of experience in Data analysis. Salary:INR 6,00,000 - 12,00,000 P.A Industry: KPO / Research / Analytics Functional Area: Analytics & Business Intelligence Role Category:Analytics & BI Role:Analytics Manager Keyskills Data Science Hive Machine Learning Data Mining R Data Visualization SQL Python Data Analysis Time Series Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Karvy Analytics Limited Karvy Analytics Limited is a new age company and a modern arm of the leading Karvy Conglomerate. Led by visionary management, the young and forward thinking team is building world class solutions for the global analytics universe. We are focused on multi-industry use cases for companies that need technology and professional services for their functional and operational analytics projects. We offer a range of solutions that bring immediate business benefits to our global customers who are interested in leveraging big data, statistical and mathematical modeling techniques, social analytics, and mobile descriptive analytics for new business insights. Download PPT Photo 1 Â  View Contact Details",2.01216E+11,Hyderabad,Sr Data Scietist,2,"6,00,000 - 12,00,000 P.A",2016-12-20 18:19:23 +0000,www.naukri.com,Analytics & Business Intelligence,0abdcbe9423d9e4730c1b16db7954f77
